Method,Accuracy,DP_Difference,EO_Difference
Baseline,0.8181818181818182,0.2209653092006033,0.11111111111111116
SMOTE,0.8311688311688312,0.18250377073906482,0.10784313725490195
Balanced,0.8441558441558441,0.2021116138763197,0.10784313725490195
